Date,Instagram reach
2023-02-14,24477
2023-02-15,25137
2023-02-16,23645
2023-02-17,20195
2023-02-18,24079
2023-02-19,25884
2023-02-20,18755
2023-02-21,22528
2023-02-22,18026
2023-02-23,20873
2023-02-24,16639
2023-02-25,14482
2023-02-26,17726
2023-02-27,32823
2023-02-28,87649
2023-03-01,91367
2023-03-02,50625
2023-03-03,12823
2023-03-04,15866
2023-03-05,19175
2023-03-06,17065
2023-03-07,56023
2023-03-08,70632
2023-03-09,20629
2023-03-10,17595
2023-03-11,31142
2023-03-12,35195
2023-03-13,43031
2023-03-14,38135
2023-03-15,22214
2023-03-16,23075
2023-03-17,17173
2023-03-18,18978
2023-03-19,45343
2023-03-20,59259
2023-03-21,23662
2023-03-22,18075
2023-03-23,16319
2023-03-24,15612
2023-03-25,21229
2023-03-26,16080
2023-03-27,15622
2023-03-28,18645
2023-03-29,41238
2023-03-30,50490
2023-03-31,22014
